episode,mean_cumulative_reward,ci_lower,ci_upper,mean_episode_length,length_ci_lower,length_ci_upper,num_seeds
30,-229.65000000000015,-229.65000000000015,-229.65000000000015,1000.0,1000.0,1000.0,1
31,-231.44000000000005,-231.44000000000005,-231.44000000000005,1000.0,1000.0,1000.0,1
32,-307.8949999999999,-307.8949999999999,-307.8949999999999,1000.0,1000.0,1000.0,1
33,-272.77500000000026,-272.77500000000026,-272.77500000000026,1000.0,1000.0,1000.0,1
34,-247.25500000000036,-247.25500000000036,-247.25500000000036,1000.0,1000.0,1000.0,1
35,-266.6799999999998,-266.6799999999998,-266.6799999999998,1000.0,1000.0,1000.0,1
36,-215.0200000000004,-215.0200000000004,-215.0200000000004,1000.0,1000.0,1000.0,1
37,-204.37999999999954,-204.37999999999954,-204.37999999999954,1000.0,1000.0,1000.0,1
38,-269.8450000000001,-269.8450000000001,-269.8450000000001,1000.0,1000.0,1000.0,1
39,-290.9550000000003,-290.9550000000003,-290.9550000000003,1000.0,1000.0,1000.0,1
40,-230.6350000000001,-230.6350000000001,-230.6350000000001,1000.0,1000.0,1000.0,1
41,-252.5049999999995,-252.5049999999995,-252.5049999999995,1000.0,1000.0,1000.0,1
42,-304.4850000000005,-304.4850000000005,-304.4850000000005,1000.0,1000.0,1000.0,1
43,-305.94000000000045,-305.94000000000045,-305.94000000000045,1000.0,1000.0,1000.0,1
44,-248.1800000000002,-248.1800000000002,-248.1800000000002,1000.0,1000.0,1000.0,1
45,-198.77499999999975,-198.77499999999975,-198.77499999999975,1000.0,1000.0,1000.0,1
46,-244.03999999999934,-244.03999999999934,-244.03999999999934,1000.0,1000.0,1000.0,1
47,-317.37499999999983,-317.37499999999983,-317.37499999999983,1000.0,1000.0,1000.0,1
48,-280.9049999999997,-280.9049999999997,-280.9049999999997,1000.0,1000.0,1000.0,1
49,-262.4400000000003,-262.4400000000003,-262.4400000000003,1000.0,1000.0,1000.0,1
50,-289.02000000000055,-289.02000000000055,-289.02000000000055,1000.0,1000.0,1000.0,1
51,-228.83000000000024,-228.83000000000024,-228.83000000000024,1000.0,1000.0,1000.0,1
52,-322.6899999999989,-322.6899999999989,-322.6899999999989,1000.0,1000.0,1000.0,1
53,-250.00499999999977,-250.00499999999977,-250.00499999999977,1000.0,1000.0,1000.0,1
54,-269.27000000000004,-269.27000000000004,-269.27000000000004,1000.0,1000.0,1000.0,1
55,-260.1300000000002,-260.1300000000002,-260.1300000000002,1000.0,1000.0,1000.0,1
56,-232.71999999999994,-232.71999999999994,-232.71999999999994,1000.0,1000.0,1000.0,1
57,-341.50500000000045,-341.50500000000045,-341.50500000000045,1000.0,1000.0,1000.0,1
58,-209.76500000000004,-209.76500000000004,-209.76500000000004,1000.0,1000.0,1000.0,1
59,-255.80500000000012,-255.80500000000012,-255.80500000000012,1000.0,1000.0,1000.0,1
60,-242.85000000000002,-242.85000000000002,-242.85000000000002,1000.0,1000.0,1000.0,1
61,-205.78499999999954,-205.78499999999954,-205.78499999999954,1000.0,1000.0,1000.0,1
62,-354.2250000000001,-354.2250000000001,-354.2250000000001,1000.0,1000.0,1000.0,1
63,-269.1099999999998,-269.1099999999998,-269.1099999999998,1000.0,1000.0,1000.0,1
64,-307.18000000000086,-307.18000000000086,-307.18000000000086,1000.0,1000.0,1000.0,1
65,-204.14999999999998,-204.14999999999998,-204.14999999999998,1000.0,1000.0,1000.0,1
66,-209.8549999999996,-209.8549999999996,-209.8549999999996,1000.0,1000.0,1000.0,1
67,-336.6250000000002,-336.6250000000002,-336.6250000000002,1000.0,1000.0,1000.0,1
