vehicle_queue,ped_queue,vehicle_wait,ped_wait,veh_thru_step,ped_thru_step
50,2,1445.0,168.0,0,0
51,2,1471.5,169.0,0,0
51,2,1497.0,170.0,0,0
51,2,1522.5,171.0,0,0
52,2,1549.5,172.0,0,0
52,2,1575.5,173.0,1,0
52,2,1601.5,174.0,0,0
52,2,1627.5,175.0,0,0
53,2,1655.0,176.0,1,0
53,2,1681.5,177.0,0,0
54,2,1709.5,178.0,0,0
52,3,1721.0,180.5,0,0
52,3,1747.0,182.0,0,0
53,2,1774.5,181.0,0,0
53,2,1801.0,182.0,0,0
52,2,1671.0,183.0,1,0
51,2,1635.0,184.0,0,0
50,2,1616.0,185.0,0,0
51,2,1642.5,186.0,0,0
50,2,1662.0,187.0,0,0
49,2,1682.0,188.0,0,0
49,2,1706.5,189.0,0,0
49,2,1731.0,190.0,0,0
49,2,1755.5,191.0,0,0
49,2,1780.0,192.0,1,0
49,2,1804.5,193.0,0,0
51,2,1832.0,194.0,0,0
51,2,1857.5,195.0,0,0
52,2,1884.5,196.0,0,0
54,2,1913.5,197.0,0,0
57,3,1945.0,199.5,0,0
58,3,1975.0,201.0,0,0
58,3,2004.0,202.5,0,0
59,3,2034.5,204.0,0,0
61,3,2067.0,205.5,0,0
61,4,2097.5,208.5,0,0
62,4,2129.5,210.5,0,0
64,5,2163.5,214.0,0,0
64,6,2195.5,217.5,0,0
64,6,2227.5,220.5,0,0
65,8,2261.0,226.5,0,0
65,9,2293.5,232.0,1,0
66,8,2299.0,234.5,0,0
66,9,2332.0,240.0,0,0
68,9,2368.0,244.5,0,0
69,10,2403.5,250.5,0,0
69,11,2438.0,257.0,0,0
70,11,2474.0,262.5,0,0
70,11,2509.0,268.0,0,0
66,11,2323.5,273.5,0,0
64,11,2311.0,279.0,0,0
62,11,2319.0,284.5,1,0
60,11,2328.5,290.0,0,0
60,12,2358.5,297.0,1,0
58,12,2368.0,303.0,1,0
57,12,2390.0,309.0,1,0
56,12,2407.5,315.0,0,0
55,12,2421.5,321.0,0,0
56,12,2450.5,327.0,1,0
56,12,2478.5,333.0,1,0
55,13,2497.5,340.5,0,0
55,13,2525.0,347.0,0,0
56,13,2554.0,353.5,3,0
56,12,2582.0,357.0,0,0
56,13,2610.0,364.5,0,0
56,12,2638.0,369.0,1,0
56,13,2666.0,376.5,0,0
56,13,2694.0,383.0,0,0
56,14,2722.0,391.0,0,0
56,14,2750.0,398.0,0,0
56,14,2778.0,405.0,0,0
56,14,2806.0,412.0,0,0
56,14,2834.0,419.0,0,0
57,14,2863.5,426.0,1,0
57,14,2892.0,433.0,0,0
58,14,2922.0,440.0,1,0
58,14,2951.0,447.0,0,0
58,14,2980.0,454.0,2,0
59,14,3010.5,461.0,1,0
61,14,3043.0,468.0,0,0
61,14,3073.5,475.0,1,0
62,14,3105.5,482.0,0,0
63,14,3138.0,489.0,0,0
64,14,3171.0,496.0,1,0
65,14,3204.5,503.0,2,0
65,14,3237.0,510.0,0,0
65,14,3269.5,517.0,1,0
65,14,3302.0,524.0,0,0
65,14,3334.5,531.0,0,0
65,14,3367.0,538.0,0,0
65,14,3399.5,545.0,1,0
65,14,3432.0,552.0,0,0
65,14,3464.5,559.0,0,0
65,14,3497.0,566.0,1,0
66,14,3531.0,573.0,0,0
66,14,3564.0,580.0,0,0
68,14,3600.0,587.0,0,0
68,14,3634.0,594.0,1,0
68,14,3668.0,601.0,0,0
69,14,3703.5,608.0,0,0
70,14,3739.5,615.0,0,0
70,14,3774.5,622.0,0,0
70,14,3809.5,629.0,0,0
70,14,3844.5,636.0,0,0
71,14,3881.0,643.0,0,0
71,14,3916.5,650.0,0,0
71,14,3952.0,657.0,0,0
71,14,3987.5,664.0,0,0
71,14,4023.0,671.0,0,0
71,14,4058.5,678.0,0,0
71,14,4094.0,685.0,2,0
71,14,4129.5,692.0,0,0
71,14,4165.0,699.0,0,0
71,14,4200.5,706.0,0,0
71,14,4236.0,713.0,0,0
71,14,4271.5,720.0,0,0
72,14,4308.5,727.0,0,0
70,14,4057.5,734.0,1,0
68,14,3841.0,741.0,0,0
67,14,3657.5,748.0,1,0
68,14,3692.5,755.0,0,0
66,14,3533.0,762.0,0,0
65,14,3403.5,769.0,1,0
63,14,3283.0,776.0,2,0
62,14,3237.5,783.0,1,0
60,14,3137.5,790.0,0,0
58,14,3049.0,797.0,0,0
56,14,2980.0,804.0,1,0
56,14,2930.0,811.0,0,0
56,14,2924.5,818.0,1,0
54,14,2905.5,825.0,1,0
55,14,2891.0,832.0,0,0
54,14,2910.0,839.0,2,0
54,14,2922.5,846.0,0,0
54,14,2949.5,853.0,1,0
53,14,2971.5,860.0,0,0
54,14,2999.5,867.0,0,0
54,14,3026.5,874.0,0,0
56,14,3056.5,881.0,2,0
56,14,3084.5,888.0,0,0
57,14,3114.0,895.0,0,0
57,14,3142.5,902.0,0,0
59,14,3174.0,909.0,0,0
60,14,3205.0,916.0,1,0
60,14,3235.0,923.0,1,0
61,14,3266.5,930.0,0,0
63,14,3300.0,937.0,0,0
63,14,3331.5,944.0,0,0
63,14,3363.0,951.0,1,0
65,14,3397.5,958.0,1,0
65,14,3430.0,965.0,1,0
65,14,3462.5,972.0,1,0
