hp_LEARNING_RATE,hp_GAMMA,hp_BATCH_SIZE,hp_TAU,loss,episode_reward,training_iteration,avg_env_step_ms,avg_train_step_ms,gpu_time,trial_name,trial_wall_time_s
3.8760332421772226e-05,0.9945079556731257,128,0.004926758610160039,1.8776640892028809,-462.15999999999946,4,185.55001460027415,2456.15889309824,0.0,84ee5ffc,
3.846068832479272e-06,0.9984184755215252,256,0.0013638115097089419,0.9264691472053528,-444.2349999999993,16,166.35239869833458,124.31486180133652,0.0,ef0edd6f,
1.761440795371753e-05,0.9804341239693259,256,0.0010643539505114136,2.0801029205322266,-404.8649999999988,2,165.5559548016172,125.25451929878909,0.0,c66f82a7,
2.2482152229725806e-05,0.981480475970819,256,0.0005159991522657196,1.5111994743347168,-414.614999999999,4,175.53456860035658,126.0783867004793,0.0,fd65c463,
2.6824386414428937e-05,0.9987876359454386,256,0.0019549286132156994,1.6014002561569214,-394.0999999999995,4,164.8890508004697,125.23211370094215,0.0,e0d4a85e,
2.69701566011263e-05,0.9984883262972407,256,0.002007230486337381,2.1629207134246826,-428.63999999999965,4,169.1425572001608,119.16587870067451,0.0,e0c66d39,
2.1501222020128847e-05,0.998526930678995,256,0.0021503485817759094,1.8924891948699951,-460.68999999999977,8,169.085603499203,115.63879610109143,0.0,0a934759,
3.874146772366156e-06,0.9986893066975221,256,0.0030532602422362618,1.8277437686920166,-320.44000000000074,8,151.98538270033896,116.51263209991157,0.0,a41668f7,
1.630004759906509e-05,0.9985936826000418,256,0.0020051397164931595,1.6384302377700806,-381.74000000000086,8,160.25147539936006,113.71921550040133,0.0,da205d86,
3.326610544770497e-06,0.9803624203163935,256,0.0031789184491670675,1.1055938005447388,-424.84499999999935,16,160.27715810050722,119.51985989999957,0.0,9278ae9b,
1.4475007777768031e-05,0.980021726088339,256,0.0005344146284717655,1.0153239965438843,-424.73000000000013,16,164.12223410012666,110.5763893983094,0.0,0eb7e092,
3.7754106231469115e-06,0.980885143707237,256,0.0031463369975668087,1.0085737705230713,-548.1199999999995,16,183.70351100084372,117.97437990212347,0.0,7b7cd0a1,
1.2383200558216115e-05,0.981853204717033,256,0.0005010945223259674,1.8760528564453125,-398.08500000000026,2,163.00215159670915,113.45843480015174,0.0,af8e1408,
1.1779447052420136e-05,0.9831460243745694,256,0.003229326336421266,0.8562308549880981,-388.49499999999995,20,166.4340917011723,113.85560979752336,0.0,97acad67,
3.7363135924541357e-06,0.9914655433557152,256,0.0034072475663686763,1.8050123453140259,-514.3800000000001,8,173.94224409596063,117.34017460152972,0.0,0c7f10f3,
4.9577118088602e-06,0.9944151046601383,256,0.00328708068309785,1.7408275604248047,-410.58499999999964,4,161.5197466009995,114.3415175009286,0.0,754531ec,
7.16154314489919e-05,0.9842571670620726,256,0.0014772504254747575,1.6696417331695557,-358.52999999999975,4,156.11759630322922,117.51983239711262,0.0,10c231d6,
3.717093294039333e-06,0.9854944107423513,256,0.0013705705587033499,1.5619723796844482,-432.63999999999925,2,163.71262900088914,116.26990580011625,0.0,ab012bbb,
6.959393416102594e-05,0.990284568628602,256,0.0015832098031708325,1.6265889406204224,-505.76500000000027,2,177.11531279911287,117.57540250045713,0.0,26fdec57,
