episode,mode,cumulative_reward,episode_length,avg_vehicle_queue,avg_ped_queue,avg_vehicle_wait,avg_ped_wait,vehicle_total_throughput,ped_total_throughput,switch_count,episode_ok,episode_start_step
115,train,-302.9800000000002,1000,26.302,2.664,598.494,65.8965,379,31,53,1,115000
116,train,-328.4099999999995,1000,28.491,2.9,695.7405,80.018,399,31,55,1,116000
117,train,-343.54999999999956,1000,30.194,2.774,757.6095,69.8065,395,31,56,1,117000
118,train,-367.3099999999997,1000,33.044,2.458,846.3145,62.9945,354,31,58,1,118000
119,train,-291.31499999999994,1000,25.911,2.147,621.326,52.5085,386,34,52,1,119000
120,train,-358.59499999999963,1000,31.613,2.831,775.948,82.295,377,32,54,1,120000
121,train,-351.1900000000004,1000,30.955,2.776,735.5705,78.9225,379,32,55,1,121000
122,train,-282.0199999999998,1000,24.17,2.688,564.0485,72.7915,401,29,50,1,122000
123,train,-369.85999999999984,1000,32.435,3.034,701.6405,83.2675,378,29,60,1,123000
124,train,-324.37,1000,29.377,2.04,722.3535,51.974,389,31,51,1,124000
125,train,-305.325,1000,26.472,2.707,590.7915,80.354,398,29,50,1,125000
126,train,-352.34999999999985,1000,31.179,2.704,735.269,71.6005,393,31,54,1,126000
127,train,-306.98499999999956,1000,26.68,2.679,603.1345,77.479,393,30,50,1,127000
128,train,-330.0399999999993,1000,29.506,2.332,645.7095,59.2905,390,29,53,1,128000
129,train,-329.54000000000025,1000,29.414,2.36,705.761,59.371,385,33,55,1,129000
130,train,-270.5749999999997,1000,23.561,2.331,586.315,59.707,392,34,50,1,130000
131,train,-317.294999999999,1000,27.198,3.021,620.1675,81.9925,399,31,55,1,131000
132,train,-263.9799999999996,1000,22.114,2.856,538.9005,77.52,392,32,50,1,132000
133,train,-306.35999999999956,1000,26.973,2.442,664.761,68.2605,392,31,51,1,133000
134,train,-403.5499999999997,1000,36.125,2.82,842.639,78.3535,390,31,60,1,134000
135,train,-331.33499999999964,1000,28.878,2.837,705.6475,83.262,389,30,53,1,135000
136,train,-283.57999999999925,1000,23.933,2.95,535.2025,78.18,398,28,50,1,136000
