global_step,batch_idx,env_label,episode,step_in_episode,reward,cumulative_reward_episode,queue_length,queue_ma50,loss
159,0,15,15,6,0.0,0.0,0,0.0,0.0
160,0,16,16,6,0.0,0.0,0,0.0,0.0
161,0,17,17,6,0.0,0.0,0,0.0,0.0
162,0,18,18,6,0.0,0.0,0,0.0,0.0
163,0,19,19,6,0.0,0.0,0,0.0,0.0
164,0,20,20,6,0.0,0.0,0,0.0,0.0
165,0,21,21,6,0.0,0.0,0,0.0,0.0
166,0,22,22,6,0.0,0.0,0,0.0,0.0
167,0,23,23,6,0.0,0.0,0,0.0,0.0
168,0,0,0,7,0.0,0.0,0,0.0,0.0
169,0,1,1,7,0.0,0.0,0,0.0,0.0
170,0,2,2,7,0.0,0.0,0,0.0,0.0
171,0,3,3,7,0.0,0.0,0,0.0,0.0
172,0,4,4,7,0.0,0.0,0,0.0,0.0
173,0,5,5,7,0.0,0.0,0,0.0,0.0
174,0,6,6,7,0.0,0.0,0,0.0,0.0
175,0,7,7,7,0.0,0.0,0,0.0,0.0
176,0,8,8,7,0.0,0.0,0,0.0,0.0
177,0,9,9,7,0.0,0.0,0,0.0,0.0
178,0,10,10,7,0.0,0.0,0,0.0,0.0
179,0,11,11,7,0.0,0.0,0,0.0,0.0
180,0,12,12,7,0.0,0.0,0,0.0,0.0
181,0,13,13,7,0.0,0.0,0,0.0,0.0
182,0,14,14,7,0.0,0.0,0,0.0,0.0
183,0,15,15,7,0.0,0.0,0,0.0,0.0
184,0,16,16,7,0.0,0.0,0,0.0,0.0
185,0,17,17,7,0.0,0.0,0,0.0,0.0
186,0,18,18,7,0.0,0.0,0,0.0,0.0
187,0,19,19,7,0.0,0.0,0,0.0,0.0
188,0,20,20,7,0.0,0.0,0,0.0,0.0
189,0,21,21,7,0.0,0.0,0,0.0,0.0
190,0,22,22,7,0.0,0.0,0,0.0,0.0
191,0,23,23,7,0.0,0.0,0,0.0,0.0
192,0,0,0,8,0.0,0.0,0,0.0,0.0
193,0,1,1,8,0.0,0.0,0,0.0,0.0
194,0,2,2,8,0.0,0.0,0,0.0,0.0
195,0,3,3,8,0.0,0.0,0,0.0,0.0
196,0,4,4,8,0.0,0.0,0,0.0,0.0
197,0,5,5,8,0.0,0.0,0,0.0,0.0
198,0,6,6,8,0.0,0.0,0,0.0,0.0
199,0,7,7,8,0.0,0.0,0,0.0,0.0
200,0,8,8,8,0.0,0.0,0,0.0,0.0
201,0,9,9,8,0.0,0.0,0,0.0,0.0
202,0,10,10,8,0.0,0.0,0,0.0,0.0
